,docUuid,desktop_search_V,traffic_dif,descktop_search_V_mean_by_id
5,ae8e992c-a08b-11e8-9082-41d95f45639c,2162,1679.7142857142858,482.2857142857143
0,d138d0c6-9bf6-11e8-8f8e-eb1702e95e35,2040,1627.125,412.875
26,510a1d42-9c87-11e8-9dc5-a25db12b5a53,2317,1553.909090909091,763.0909090909091
8,3d66192a-9490-11e8-9907-2078d824af27,1826,1515.7777777777778,310.22222222222223
19,1a789cb2-9b07-11e8-b29c-f017b12b5a53,1906,1503.6666666666667,402.3333333333333
27,10e87e8a-94a2-11e8-ba78-2078d824af27,1645,1281.375,363.625
38,335b20e6-9f90-11e8-80d1-eb1702e95e35,2041,1280.6,760.4
30,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1586,822.9090909090909,763.0909090909091
16,ae91f93c-964f-11e8-aa2d-2078d824af27,1093,812.3333333333333,280.6666666666667
18,c83591a6-a05d-11e8-af80-8f4a631f500f,912,652.2857142857142,259.7142857142857
51,5465e68c-9968-11e8-b9c7-852902e95e35,786,637.4,148.6
73,a5dc0066-a154-11e8-84d8-8f4a631f500f,950,628.5,321.5
101,c429cfac-9593-11e8-863b-fc60c095174f,861,618.75,242.25
88,10e87e8a-94a2-11e8-ba78-2078d824af27,956,592.375,363.625
7,3446b5f6-956d-11e8-a183-fc60c095174f,798,592.1,205.9
9,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,700,562.8888888888889,137.11111111111111
29,0e3b9ca8-9ef7-11e8-9137-eb1702e95e35,914,562.25,351.75
6,6c6da284-9f98-11e8-bbcf-eb1702e95e35,875,560.0,315.0
64,335b20e6-9f90-11e8-80d1-eb1702e95e35,1258,497.6,760.4
47,c8ba8210-94b1-11e8-ac97-2078d824af27,849,488.8,360.2
31,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1231,467.9090909090909,763.0909090909091
110,3d66192a-9490-11e8-9907-2078d824af27,770,459.77777777777777,310.22222222222223
72,4b3cddae-9a2b-11e8-a40c-1e0e02e95e35,549,413.1428571428571,135.85714285714286
96,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1148,384.9090909090909,763.0909090909091
32,c429cfac-9593-11e8-863b-fc60c095174f,616,373.75,242.25
77,421f65a6-93f6-11e8-925d-fc60c095174f,454,365.25,88.75
50,9a432d1c-9fa9-11e8-b1b7-a25db12b5a53,487,329.8,157.2
59,2638cfae-9c74-11e8-96ad-a25db12b5a53,582,328.7142857142857,253.28571428571428
43,510a1d42-9c87-11e8-9dc5-a25db12b5a53,1088,324.9090909090909,763.0909090909091
56,163999e2-9af0-11e8-87aa-1e0e02e95e35,446,323.3333333333333,122.66666666666667
60,4f70ab5a-9a33-11e8-a608-f017b12b5a53,429,291.75,137.25
57,7990d002-9fbc-11e8-9724-a25db12b5a53,455,284.75,170.25
264,f7b56108-8e75-11e8-b34d-8869a7fcb7dc,636,282.6666666666667,353.3333333333333
3,c83591a6-a05d-11e8-af80-8f4a631f500f,532,272.2857142857143,259.7142857142857
87,c8ba8210-94b1-11e8-ac97-2078d824af27,632,271.8,360.2
154,fd0296d2-93ff-11e8-a43c-fc60c095174f,442,254.5,187.5
143,3446b5f6-956d-11e8-a183-fc60c095174f,460,254.1,205.9
49,0814e520-9d3d-11e8-89aa-a25db12b5a53,475,230.125,244.875
144,fb4e9adc-958c-11e8-89f9-fc60c095174f,317,227.85714285714286,89.14285714285714
106,2638cfae-9c74-11e8-96ad-a25db12b5a53,481,227.71428571428572,253.28571428571428
469,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,493,225.25,267.75
124,1a789cb2-9b07-11e8-b29c-f017b12b5a53,626,223.66666666666669,402.3333333333333
481,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,490,222.25,267.75
17,69f972a4-a168-11e8-9077-41d95f45639c,362,213.83333333333334,148.16666666666666
62,0814e520-9d3d-11e8-89aa-a25db12b5a53,451,206.125,244.875
90,82386dd2-9ba2-11e8-86e9-a25db12b5a53,301,184.2,116.8
80,7dedba16-9bd4-11e8-b6f7-a25db12b5a53,289,181.6,107.4
15,85c70544-9a3f-11e8-8dd7-f017b12b5a53,367,176.33333333333334,190.66666666666666
92,d138d0c6-9bf6-11e8-8f8e-eb1702e95e35,584,171.125,412.875
115,85c70544-9a3f-11e8-8dd7-f017b12b5a53,355,164.33333333333334,190.66666666666666
68,fb4e9adc-958c-11e8-89f9-fc60c095174f,230,140.85714285714286,89.14285714285714
2,e028d788-a1f1-11e8-9f37-8f4a631f500f,585,134.0,451.0
76,a5956c8a-9ee0-11e8-ad05-a25db12b5a53,308,129.66666666666666,178.33333333333334
191,e129338e-963f-11e8-a542-2078d824af27,188,129.4,58.6
91,21b31f3a-a12d-11e8-be1d-41d95f45639c,259,126.83333333333334,132.16666666666666
65,fcf7151c-94ce-11e8-9aff-fc60c095174f,217,126.75,90.25
78,c5eb79ce-a085-11e8-a080-41d95f45639c,165,118.8,46.2
10,e028d788-a1f1-11e8-9f37-8f4a631f500f,569,118.0,451.0
195,4b3cddae-9a2b-11e8-a40c-1e0e02e95e35,247,111.14285714285714,135.85714285714286
66,1a789cb2-9b07-11e8-b29c-f017b12b5a53,512,109.66666666666669,402.3333333333333
98,c43b5286-a146-11e8-bf2c-8f4a631f500f,196,105.4,90.6
163,f462cb8c-957b-11e8-b8cb-fc60c095174f,163,101.5,61.5
142,45b330ee-9a18-11e8-b397-f017b12b5a53,185,99.75,85.25
125,6586e2d8-a14f-11e8-afd8-8f4a631f500f,151,99.6,51.4
166,138ad2d4-9559-11e8-993b-2078d824af27,225,97.66666666666667,127.33333333333333
22,72319330-9ed3-11e8-8dc8-eb1702e95e35,284,96.66666666666666,187.33333333333334
212,8453807a-93f0-11e8-b468-fc60c095174f,299,96.0,203.0
114,5465e68c-9968-11e8-b9c7-852902e95e35,244,95.4,148.6
485,0814e520-9d3d-11e8-89aa-a25db12b5a53,337,92.125,244.875
94,c97f5c78-9977-11e8-a79d-852902e95e35,163,92.0,71.0
188,69f972a4-a168-11e8-9077-41d95f45639c,239,90.83333333333334,148.16666666666666
48,f0342652-96f5-11e8-83ad-2078d824af27,156,85.0,71.0
103,ae8e992c-a08b-11e8-9082-41d95f45639c,567,84.71428571428572,482.2857142857143
233,42321806-94b7-11e8-9e55-fc60c095174f,155,83.0,72.0
107,3924a578-9659-11e8-ae1c-fc60c095174f,114,80.42857142857143,33.57142857142857
46,2104c2e2-9eca-11e8-ba53-eb1702e95e35,238,79.33333333333334,158.66666666666666
28,94bc8c7e-9c8b-11e8-a40e-a25db12b5a53,347,79.25,267.75
109,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,213,75.88888888888889,137.11111111111111
11,99301356-9953-11e8-8039-2078d824af27,134,73.5,60.5
100,a1ef9464-9a46-11e8-8b2a-1e0e02e95e35,109,71.25,37.75
67,907ae110-96eb-11e8-96a7-fc60c095174f,136,67.8,68.2
185,bce1283c-a1fd-11e8-897e-41d95f45639c,158,67.0,91.0
157,456b68e4-9ca8-11e8-884c-eb1702e95e35,107,61.0,46.0
524,3446b5f6-956d-11e8-a183-fc60c095174f,264,58.099999999999994,205.9
74,0814e520-9d3d-11e8-89aa-a25db12b5a53,302,57.125,244.875
126,5ee74e7c-9ef2-11e8-9047-eb1702e95e35,125,55.5,69.5
102,9812c736-a211-11e8-9004-8f4a631f500f,109,55.2,53.8
122,f0342652-96f5-11e8-83ad-2078d824af27,126,55.0,71.0
54,72319330-9ed3-11e8-8dc8-eb1702e95e35,239,51.66666666666666,187.33333333333334
71,bce1283c-a1fd-11e8-897e-41d95f45639c,141,50.0,91.0
202,421f65a6-93f6-11e8-925d-fc60c095174f,137,48.25,88.75
44,163999e2-9af0-11e8-87aa-1e0e02e95e35,170,47.33333333333333,122.66666666666667
176,07b77414-9f98-11e8-b572-eb1702e95e35,116,46.33333333333333,69.66666666666667
127,82386dd2-9ba2-11e8-86e9-a25db12b5a53,163,46.2,116.8
93,2638cfae-9c74-11e8-96ad-a25db12b5a53,299,45.71428571428572,253.28571428571428
222,ea50192c-9708-11e8-82a3-2078d824af27,151,42.400000000000006,108.6
34,ae91f93c-964f-11e8-aa2d-2078d824af27,322,41.333333333333314,280.6666666666667
129,2104c2e2-9eca-11e8-ba53-eb1702e95e35,198,39.33333333333334,158.66666666666666
178,1f70904e-9b02-11e8-bc21-f017b12b5a53,64,38.6,25.4
37,50d199a0-a460-11e8-98a1-41d95f45639c,246,37.5,208.5
13,6d7eb81e-9af9-11e8-88d9-f017b12b5a53,173,35.888888888888886,137.11111111111111
366,d95fc914-170b-11e8-b027-36686c0143b9,295,35.666666666666686,259.3333333333333
169,108aa054-96fe-11e8-bcbd-2078d824af27,93,35.6,57.4
58,5465e68c-9968-11e8-b9c7-852902e95e35,184,35.400000000000006,148.6
137,907ae110-96eb-11e8-96a7-fc60c095174f,103,34.8,68.2
108,108aa054-96fe-11e8-bcbd-2078d824af27,91,33.6,57.4
228,1f0b2036-a22f-11e8-9d4d-8f4a631f500f,84,32.8,51.2
133,fcf7151c-94ce-11e8-9aff-fc60c095174f,123,32.75,90.25
121,9a432d1c-9fa9-11e8-b1b7-a25db12b5a53,189,31.80000000000001,157.2
253,a834ff8a-93d9-11e8-ae17-2078d824af27,75,31.0,44.0
128,6d99ea58-a125-11e8-85de-8f4a631f500f,63,29.200000000000003,33.8
265,aa8477c6-a224-11e8-b201-41d95f45639c,53,28.0,25.0
172,adcf3b3c-9ef0-11e8-a762-a25db12b5a53,53,27.75,25.25
394,3080a7a0-81b4-11e8-9638-f86fca9e9af2,41,26.666666666666664,14.333333333333334
309,fd0296d2-93ff-11e8-a43c-fc60c095174f,212,24.5,187.5
193,ea50192c-9708-11e8-82a3-2078d824af27,133,24.400000000000006,108.6
130,1c419614-9fb9-11e8-b9f9-eb1702e95e35,49,24.0,25.0
555,21b31f3a-a12d-11e8-be1d-41d95f45639c,156,23.833333333333343,132.16666666666666
165,fe3217ec-9a0f-11e8-b345-107bb12b5a53,50,23.666666666666668,26.333333333333332
85,78c3ab34-a487-11e8-9645-8f4a631f500f,48,23.0,25.0
238,b9a82542-971e-11e8-815e-fc60c095174f,31,21.833333333333336,9.166666666666666
255,3bfd7946-9014-11e8-833b-2078d824af27,61,21.0,40.0
230,e9383386-995f-11e8-a4ed-852902e95e35,49,18.666666666666668,30.333333333333332
20,e028d788-a1f1-11e8-9f37-8f4a631f500f,468,17.0,451.0
182,b6f434f0-9631-11e8-8a60-fc60c095174f,38,16.5,21.5
535,e53a6e88-90a5-11e8-a466-2078d824af27,23,16.2,6.8
1,99301356-9953-11e8-8039-2078d824af27,76,15.5,60.5
270,c43b5286-a146-11e8-bf2c-8f4a631f500f,106,15.400000000000006,90.6
196,5ee74e7c-9ef2-11e8-9047-eb1702e95e35,84,14.5,69.5
284,f462cb8c-957b-11e8-b8cb-fc60c095174f,75,13.5,61.5
83,96de7c24-00eb-11e8-8743-a08db8bcf5f7,28,13.5,14.5
231,fa5e724a-9baa-11e8-856a-eb1702e95e35,22,12.5,9.5
240,ea50192c-9708-11e8-82a3-2078d824af27,121,12.400000000000006,108.6
256,1f0b2036-a22f-11e8-9d4d-8f4a631f500f,63,11.799999999999997,51.2
398,9258c4e2-9188-11e8-baef-fc60c095174f,24,11.666666666666666,12.333333333333334
156,b6f434f0-9631-11e8-8a60-fc60c095174f,33,11.5,21.5
206,e129338e-963f-11e8-a542-2078d824af27,70,11.399999999999999,58.6
55,6d99ea58-a125-11e8-85de-8f4a631f500f,45,11.200000000000003,33.8
207,1c3a3da4-a06a-11e8-815c-41d95f45639c,28,11.0,17.0
134,2638cfae-9c74-11e8-96ad-a25db12b5a53,264,10.714285714285722,253.28571428571428
283,9f71df54-a215-11e8-92a5-8f4a631f500f,34,10.2,23.8
12,fa18e6d4-9bb5-11e8-a60f-eb1702e95e35,14,9.6,4.4
86,bc306efe-a44e-11e8-b3aa-41d95f45639c,26,9.5,16.5
529,96de7c24-00eb-11e8-8743-a08db8bcf5f7,23,8.5,14.5
244,0a0d12a0-9c78-11e8-acfb-eb1702e95e35,17,8.25,8.75
138,1c419614-9fb9-11e8-b9f9-eb1702e95e35,33,8.0,25.0
440,351ef64a-8a65-11e8-8ca7-8869a7fcb7dc,12,7.333333333333333,4.666666666666667
151,5e3eb89a-a472-11e8-bd25-41d95f45639c,16,7.0,9.0
135,feb5a38e-a47b-11e8-b5e0-41d95f45639c,17,7.0,10.0
388,39c24f2a-8fe8-11e8-ab25-e0e8393def43,12,6.0,6.0
147,b769cd20-a2b4-11e8-9c73-8f4a631f500f,106,6.0,100.0
210,36b1feec-9ae3-11e8-8c2d-1e0e02e95e35,47,6.0,41.0
547,ab6ccd1a-5fed-11e8-b53b-be327c3166de,11,5.625,5.375
260,fa5e724a-9baa-11e8-856a-eb1702e95e35,15,5.5,9.5
554,925488dc-8e54-11e8-a0ec-e0e8393def43,11,5.5,5.5
247,d89a2080-994f-11e8-b4bc-2078d824af27,20,5.333333333333334,14.666666666666666
148,456b68e4-9ca8-11e8-884c-eb1702e95e35,51,5.0,46.0
150,b769cd20-a2b4-11e8-9c73-8f4a631f500f,105,5.0,100.0
467,ab6ccd1a-5fed-11e8-b53b-be327c3166de,10,4.625,5.375
261,3924a578-9659-11e8-ae1c-fc60c095174f,38,4.428571428571431,33.57142857142857
267,1c3a3da4-a06a-11e8-815c-41d95f45639c,21,4.0,17.0
187,1f0b2036-a22f-11e8-9d4d-8f4a631f500f,55,3.799999999999997,51.2
403,d95fc914-170b-11e8-b027-36686c0143b9,263,3.6666666666666856,259.3333333333333
204,d89a2080-994f-11e8-b4bc-2078d824af27,18,3.333333333333334,14.666666666666666
287,9f71df54-a215-11e8-92a5-8f4a631f500f,27,3.1999999999999993,23.8
313,9f71df54-a215-11e8-92a5-8f4a631f500f,27,3.1999999999999993,23.8
363,a32029c6-89a1-11e8-a1c4-5683a7fcb7dc,7,3.0,4.0
170,36b1feec-9ae3-11e8-8c2d-1e0e02e95e35,44,3.0,41.0
465,9fcaabc8-8fd4-11e8-8398-e0e8393def43,5,2.6666666666666665,2.3333333333333335
487,ab6ccd1a-5fed-11e8-b53b-be327c3166de,8,2.625,5.375
357,cf8d0e1c-9639-11e8-936f-2078d824af27,9,2.5,6.5
201,96de7c24-00eb-11e8-8743-a08db8bcf5f7,17,2.5,14.5
392,891d4278-67d4-11e8-9a86-fb1b3249e00a,5,2.0,3.0
239,3bfd7946-9014-11e8-833b-2078d824af27,42,2.0,40.0
292,b9a82542-971e-11e8-815e-fc60c095174f,11,1.833333333333334,9.166666666666666
558,e4525d10-6962-11e8-bf55-fb1b3249e00a,3,1.5,1.5
531,1bca607c-6b24-11e8-b44b-8ed2e26c6167,2,1.0,1.0
425,deaf89cc-00ef-11e8-a834-a08db8bcf5f7,2,1.0,1.0
551,a32029c6-89a1-11e8-a1c4-5683a7fcb7dc,5,1.0,4.0
408,7b2172f8-745d-11e8-a55f-ab7403c1ce92,2,0.75,1.25
220,7b2172f8-745d-11e8-a55f-ab7403c1ce92,2,0.75,1.25
527,9258c4e2-9188-11e8-baef-fc60c095174f,13,0.6666666666666661,12.333333333333334
249,1f70904e-9b02-11e8-bc21-f017b12b5a53,26,0.6000000000000014,25.4
382,14b01f4c-707f-11e8-afa1-ab7403c1ce92,1,0.5,0.5
105,bb79e6b0-9fb3-11e8-bef0-eb1702e95e35,1,0.5,0.5
536,8e1f84aa-46ca-11e8-9901-de2ce12992ad,1,0.5,0.5
112,ed3a207c-a457-11e8-8f32-8f4a631f500f,19,0.5,18.5
474,5277927e-0fef-11e8-b2b2-02ed3694657e,1,0.5,0.5
412,639f36c2-00ec-11e8-86c6-d6fd8c1371f3,1,0.5,0.5
429,afcaa190-1df1-11e8-805a-deccd0dd5d77,1,0.5,0.5
430,57203bf0-6fa3-11e8-b5a2-70a303c1ce92,1,0.5,0.5
538,158570c8-747d-11e8-aa2c-f0a9a6a83071,1,0.5,0.5
452,8f90dcb2-79fb-11e8-b362-4ceaba6bc217,1,0.33333333333333337,0.6666666666666666
300,8f90dcb2-79fb-11e8-b362-4ceaba6bc217,1,0.33333333333333337,0.6666666666666666
205,07b77414-9f98-11e8-b572-eb1702e95e35,70,0.3333333333333286,69.66666666666667
550,cfeecb0e-8f2f-11e8-80da-e0e8393def43,0,0.0,0.0
226,88906ed2-a53e-11e8-aed1-8f4a631f500f,16,0.0,16.0
473,7b7dc7ec-017b-11e8-b43b-a08db8bcf5f7,0,0.0,0.0
543,a200ee44-0559-11e8-8b73-6836f727bb7d,0,0.0,0.0
303,142ff8ac-a55f-11e8-8c59-8f4a631f500f,0,0.0,0.0
526,a20ce268-00e9-11e8-94e6-cf60b8bcf5f7,0,0.0,0.0
223,459e47c8-89b1-11e8-a236-8869a7fcb7dc,0,0.0,0.0
79,f4d79d92-a519-11e8-a628-8f4a631f500f,12,0.0,12.0
457,8d837ec6-00fb-11e8-9f84-d6fd8c1371f3,0,0.0,0.0
448,2ddf22de-868b-11e8-95d8-f63dca9e9af2,0,0.0,0.0
549,b2c1fd62-6a4a-11e8-a6f6-8ed2e26c6167,0,0.0,0.0
470,25c3bace-00e9-11e8-991b-00bd8c1371f3,0,0.0,0.0
458,1a25424e-917d-11e8-9d5b-2078d824af27,42,0.0,42.0
33,3a0c5bde-a52c-11e8-bd20-41d95f45639c,107,0.0,107.0
375,d1a1b35a-93ce-11e8-bcba-fc60c095174f,42,0.0,42.0
377,fdc8b106-8a58-11e8-8695-e0e8393def43,1,0.0,1.0
468,3c79e21e-80f2-11e8-8d1b-d8cdf617378b,0,0.0,0.0
528,549cf932-7aa6-11e8-9740-4ceaba6bc217,0,0.0,0.0
236,1bca607c-6b24-11e8-b44b-8ed2e26c6167,1,0.0,1.0
461,9294dd66-7f58-11e8-ac01-22576382b57d,0,0.0,0.0
411,d1983f34-7072-11e8-9b2e-ab7403c1ce92,0,0.0,0.0
362,545ac28c-8c04-11e8-8f45-e0e8393def43,0,0.0,0.0
404,11dd5cd2-414d-11e8-8d21-a1e87e988848,1,0.0,1.0
217,4bbe6494-a536-11e8-adae-8f4a631f500f,76,0.0,76.0
491,68fbf22e-6fb7-11e8-8028-f0a9a6a83071,0,0.0,0.0
442,e93c2bec-6324-11e8-85d6-fb1b3249e00a,0,0.0,0.0
506,2ff21c08-916b-11e8-80ce-fc60c095174f,0,0.0,0.0
488,f8f22494-91ad-11e8-ac8f-fc60c095174f,33,0.0,33.0
402,c029feae-01f5-11e8-a8c0-a08db8bcf5f7,0,0.0,0.0
360,3329e1c2-30f8-11e8-9ae4-ec97670cc1e3,0,0.0,0.0
489,5d1ae9ee-8374-11e8-a094-f86fca9e9af2,0,0.0,0.0
439,b23460a8-00e9-11e8-84ee-00bd8c1371f3,0,0.0,0.0
477,add99d66-878f-11e8-b0f7-f63dca9e9af2,0,0.0,0.0
426,347897ac-00f2-11e8-91b7-d6fd8c1371f3,0,0.0,0.0
434,c68d5b34-0546-11e8-b8df-6836f727bb7d,0,0.0,0.0
174,f5fd35d8-a546-11e8-aa27-8f4a631f500f,37,0.0,37.0
497,5bca5b5c-013c-11e8-a44d-a08db8bcf5f7,0,0.0,0.0
171,bce78bf8-a510-11e8-823f-8f4a631f500f,13,0.0,13.0
496,e60d6780-5814-11e8-81c8-c044553edb85,0,0.0,0.0
509,fd79e8cc-738e-11e8-988e-f0a9a6a83071,0,0.0,0.0
486,6725a662-328f-11e8-8066-9e0d2a124413,0,0.0,0.0
342,fe061f3a-06a2-11e8-9dee-328f588b2a65,0,0.0,0.0
323,f0ccfd3c-013b-11e8-ac5d-a08db8bcf5f7,0,0.0,0.0
478,d5b9ac3c-3671-11e8-a522-c70d7f988848,0,0.0,0.0
525,bc8797e6-011b-11e8-90cd-d6fd8c1371f3,0,0.0,0.0
380,1a449504-6a36-11e8-86b0-85aca6a83071,0,0.0,0.0
544,1c7149de-7ea0-11e8-ada7-22576382b57d,0,0.0,0.0
381,cc881dae-220a-11e8-a885-7f6bd0dd5d77,0,0.0,0.0
523,25c3bc04-00e9-11e8-991b-00bd8c1371f3,0,0.0,0.0
520,c8163874-8a96-11e8-ae59-e0e8393def43,0,0.0,0.0
423,e289578e-0109-11e8-abb3-a08db8bcf5f7,0,0.0,0.0
386,ab43adb6-1c6a-11e8-a41c-4d238c11f014,0,0.0,0.0
560,ad7927ea-00eb-11e8-9bcc-a08db8bcf5f7,0,0.0,0.0
484,6ff50a26-44a0-11e8-9e48-de2ce12992ad,0,0.0,0.0
514,6d083cde-8505-11e8-83d1-d8cdf617378b,0,0.0,0.0
197,9da0e2ba-a526-11e8-9b22-8f4a631f500f,22,0.0,22.0
449,c183bb3e-6bb6-11e8-8f74-8ed2e26c6167,0,0.0,0.0
495,7b2172f8-745d-11e8-a55f-ab7403c1ce92,1,-0.25,1.25
397,9fcaabc8-8fd4-11e8-8398-e0e8393def43,2,-0.3333333333333335,2.3333333333333335
344,ab6ccd1a-5fed-11e8-b53b-be327c3166de,5,-0.375,5.375
61,fa18e6d4-9bb5-11e8-a60f-eb1702e95e35,4,-0.40000000000000036,4.4
454,5277927e-0fef-11e8-b2b2-02ed3694657e,0,-0.5,0.5
175,ed3a207c-a457-11e8-8f32-8f4a631f500f,18,-0.5,18.5
437,14b01f4c-707f-11e8-afa1-ab7403c1ce92,0,-0.5,0.5
407,8e1f84aa-46ca-11e8-9901-de2ce12992ad,0,-0.5,0.5
183,639f36c2-00ec-11e8-86c6-d6fd8c1371f3,0,-0.5,0.5
483,afcaa190-1df1-11e8-805a-deccd0dd5d77,0,-0.5,0.5
273,158570c8-747d-11e8-aa2c-f0a9a6a83071,0,-0.5,0.5
189,bb79e6b0-9fb3-11e8-bef0-eb1702e95e35,0,-0.5,0.5
507,57203bf0-6fa3-11e8-b5a2-70a303c1ce92,0,-0.5,0.5
446,8f90dcb2-79fb-11e8-b362-4ceaba6bc217,0,-0.6666666666666666,0.6666666666666666
318,0a0d12a0-9c78-11e8-acfb-eb1702e95e35,8,-0.75,8.75
353,0a0d12a0-9c78-11e8-acfb-eb1702e95e35,8,-0.75,8.75
539,e53a6e88-90a5-11e8-a466-2078d824af27,6,-0.7999999999999998,6.8
416,1bca607c-6b24-11e8-b44b-8ed2e26c6167,0,-1.0,1.0
492,deaf89cc-00ef-11e8-a834-a08db8bcf5f7,0,-1.0,1.0
320,aa8477c6-a224-11e8-b201-41d95f45639c,24,-1.0,25.0
225,7b2172f8-745d-11e8-a55f-ab7403c1ce92,0,-1.25,1.25
203,adcf3b3c-9ef0-11e8-a762-a25db12b5a53,24,-1.25,25.25
275,1f70904e-9b02-11e8-bc21-f017b12b5a53,24,-1.3999999999999986,25.4
167,fa18e6d4-9bb5-11e8-a60f-eb1702e95e35,3,-1.4000000000000004,4.4
500,e4525d10-6962-11e8-bf55-fb1b3249e00a,0,-1.5,1.5
141,b769cd20-a2b4-11e8-9c73-8f4a631f500f,98,-2.0,100.0
312,891d4278-67d4-11e8-9a86-fb1b3249e00a,1,-2.0,3.0
269,3bfd7946-9014-11e8-833b-2078d824af27,38,-2.0,40.0
294,b9a82542-971e-11e8-815e-fc60c095174f,7,-2.166666666666666,9.166666666666666
471,9fcaabc8-8fd4-11e8-8398-e0e8393def43,0,-2.3333333333333335,2.3333333333333335
302,ab6ccd1a-5fed-11e8-b53b-be327c3166de,3,-2.375,5.375
285,ab6ccd1a-5fed-11e8-b53b-be327c3166de,3,-2.375,5.375
346,cf8d0e1c-9639-11e8-936f-2078d824af27,4,-2.5,6.5
540,351ef64a-8a65-11e8-8ca7-8869a7fcb7dc,2,-2.666666666666667,4.666666666666667
421,3bfd7946-9014-11e8-833b-2078d824af27,37,-3.0,40.0
345,21b31f3a-a12d-11e8-be1d-41d95f45639c,129,-3.166666666666657,132.16666666666666
177,e9383386-995f-11e8-a4ed-852902e95e35,27,-3.333333333333332,30.333333333333332
262,ab6ccd1a-5fed-11e8-b53b-be327c3166de,2,-3.375,5.375
162,fa18e6d4-9bb5-11e8-a60f-eb1702e95e35,1,-3.4000000000000004,4.4
530,e53a6e88-90a5-11e8-a466-2078d824af27,3,-3.8,6.8
504,a32029c6-89a1-11e8-a1c4-5683a7fcb7dc,0,-4.0,4.0
